"Cnum","coursename","url","university"
"course59","Effective Programming in C and C++","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-s096-effective-programming-in-c-and-c-january-iap-2014/","MIT"
"course121","Selected Topics in Cryptography","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-897-selected-topics-in-cryptography-spring-2004/","MIT"
"course109","Advanced Topics in Cryptography ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-876j-advanced-topics-in-cryptography-spring-2003/","MIT"
"course31","Intensive Introduction to Computer Science ","http://www.extension.harvard.edu/open-learning-initiative/intensive-introduction-computer-science","Harvard"
"course115","Wiretaps to Big Data: Privacy and Surveillance in the Age of Interconnection","https://www.edx.org/course/cornellx/cornellx-engri1280x-wiretaps-big-data-1246#.U8VvxE1OWCg","Cornell"
"course81","Cryptography I","http://online.stanford.edu/cryptography-1-summer-2014","Stanford"
"course100","Practical Machine Learning ","https://www.coursera.org/course/predmachlearn","Johns Hopkins"
"course95","Biochemical Computing","http://ocw.mit.edu/courses/health-sciences-and-technology/hst-950j-biomedical-computing-fall-2010/","MIT"
"course174","Performance Engineering of Software Systems","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-172-performance-engineering-of-software-systems-fall-2010/","MIT"
"course189","Database, Internet, and Systems Integration Technologies","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-264j-database-internet-and-systems-integration-technologies-fall-2013","MIT"
"course44","Electromagnetics and Applications ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-013-electromagnetics-and-applications-spring-2009/","MIT"
"course166","Knowledge-Based Application Systems","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-871-knowledge-based-applications-systems-spring-2005/","MIT"
"course64","Java Preparation for 6.170","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-092-java-preparation-for-6-170-january-iap-2006/","MIT"
"course153","Representation and Modeling for Image Analysis","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-881-representation-and-modeling-for-image-analysis-spring-2005/","MIT"
"course92","Selected Topics in Cryptography","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-897-selected-topics-in-cryptography-spring-2004/","MIT"
"course165","Introduction to Mathematical Programming","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-251j-introduction-to-mathematical-programming-fall-2009/","MIT"
